更新时间,#genre#
2024-11-01 01:51:34,url
📺央视频道,#genre#
CCTV-1,http://222.64.214.39:8899/rtp/239.45.3.145:5140$1920x1080
CCTV-1,http://139.196.151.191:2051/rtp/239.45.3.145:5140
CCTV-1,http://106.57.0.102:55555/rtp/239.200.200.2:8080$1920x1080
CCTV-1,http://123.56.129.203:4310/rtp/225.1.8.1:8008
CCTV-1,http://123.56.129.203:4310/rtp/225.1.8.101:8080
CCTV-1,http://123.117.36.74:4001/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://123.121.93.25:8686/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://114.249.229.59:8012/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://111.196.131.46:20000/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://114.246.180.128:4022/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://123.166.61.70:8003/hls/11/index.m3u8
CCTV-1,http://1b6467f415.iok.la:9931/tsfile/live/1020_1.m3u8
CCTV-1,http://139.196.151.191:6846/rtp/239.45.3.145:5140
CCTV-1,http://www.zzlag.top:9087/tsfile/live/1010_1.m3u8?key=txiptv
CCTV-1,http://121.24.98.154:8090/hls/9/index.m3u8
CCTV-1,http://222.218.158.86:8181/tsfile/live/0001_1.m3u8
CCTV-1,http://111.160.17.2:59901/tsfile/live/0001_1.m3u8
CCTV-1,http://fangke.blueswords.com:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://gslbservzqhsw.itv.cmvideo.cn/index.m3u8?Contentid=reallive-hdcctv1&channel-id=ystenlive&livemode=1&stbId=3
CCTV-2,http://222.64.214.39:8899/rtp/239.45.1.109:5140$1920x1080
CCTV-2,http://139.196.151.191:2051/rtp/239.45.1.109:5140
CCTV-2,http://106.57.0.102:55555/rtp/239.200.200.1:8004$1920x1080
CCTV-2,http://123.56.129.203:4310/rtp/225.1.8.2:8084
CCTV-2,http://123.56.129.203:4310/rtp/225.1.8.102:8004
CCTV-2,http://123.117.36.74:4001/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://123.121.93.25:8686/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://114.249.229.59:8012/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://111.196.131.46:20000/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://114.246.180.128:4022/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://tvbox6.icu/tv/migu.php?id=cctv2
CCTV-2,http://221.0.78.198:1681/hls/10202/index.m3u8
CCTV-2,http://101.43.66.162/migunew.php?id=cctv2
CCTV-2,http://119.163.199.98:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://121.24.98.154:8090/hls/10/index.m3u8
CCTV-2,http://202.100.46.58:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://112.46.85.60:8009/hls/502/index.m3u8$1920x1080
CCTV-2,http://121.24.98.232:8090/hls/10/index.m3u8
CCTV-2,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000023315/index.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=no
CCTV-2,http://36.35.16.98:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-3,http://222.64.214.39:8899/rtp/239.45.1.68:5140$1920x1080
CCTV-3,http://139.196.151.191:2051/rtp/239.45.1.68:5140
CCTV-3,http://106.57.0.102:55555/rtp/239.200.200.71:8012$1920x1080
CCTV-3,http://123.56.129.203:4310/rtp/225.1.8.88:8000
